series,episode,baker,signature_bake,show_stopper,baker_name,baker_age,baker_occupation,hometown,technical,result
3,8,james,"Smoky Cayenne, Cumin and Chilli Crackers",Gingerbread Barn,James Morton,21,Medical student,"Hillswick, Shetland Islands",1,STAR BAKER
3,8,john,Asian Spice Crackers,Gingerbread Roman Coliseum,John Whaite,22,Law student,Wigan,3,IN
3,9,brendan,Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets,Gateau St. Honoré,Brendan Lynch,63,Recruitment consultant,Sutton Coldfield,3,IN
3,9,danny,Blackberry and Peppermint MacaroonsMiniature Raspberry and Basil FinanciersOrange and White Chocolate Langues de Chat,Rosewater and Lychee St. Honoré,Danny Bryden,45,Intensive care consultant,Sheffield,4,OUT
3,9,james,"Lemon and Rhubarb TartletsChocolate Indulgence Petits FoursChilli, Lime and Raspberry Macaroons","Coffee, Caramel and Hazelnut Paris-Brest",James Morton,21,Medical student,"Hillswick, Shetland Islands",1,STAR BAKER
3,9,john,Lemon MadeleinesWhite Chocolate and Raspberry TartletsDark Chocolate and Cherry Macaroons,Gateau St. Honoré a la Passion,John Whaite,22,Law student,Wigan,2,IN
3,10,brendan,Potato and Pepper Pithivier,Family Reunion Chiffon Cake,Brendan Lynch,63,Recruitment consultant,Sutton Coldfield,2,Runner-up
3,10,james,Spanish Pithivier with Chorizo and Red Pepper,United Chiffon Cakes,James Morton,21,Medical student,"Hillswick, Shetland Islands",1,Runner-up
3,10,john,Italian Sausage and Roasted Vegetable Pithivier,Heaven and Hell Chiffon Cake,John Whaite,22,Law student,Wigan,2,WINNER
4,1,ali,Rose and Pistachio Cake,"Chocolate, Raspberry and Passion Fruit Engagement Cake",Ali Imdad,25,Charity worker,"Saltley, Birmingham",11,IN
4,1,beca,Grapefruit Sandwich Cake,Chocolate Cherry Indulgence,Beca Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",8,IN
4,1,christine,"Strawberry, Vanilla and Rosewater Summer Basket",Chocolate and Orange 'Fripperous' Hat Cake,Christine Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",3,IN
4,1,deborah,Pineapple Cake,'Coffee Time',Deborah Manger,51,Dentist,Peterborough,9,IN
4,1,frances,Giant Jam Sandwich,Secret Squirrel Cake,Frances Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",7,IN
4,1,glenn,Strawberries and Cream Cake,Almond and Espresso Chocolate Cake,Glenn Cosby,37,English Teacher,"Teignmouth, Devon",4,IN
4,1,howard,Passion Fruit and Coconut Cake,Black Forest Revisited,Howard Middleton,51,Council Worker,Sheffield,6,IN
4,1,kimberley,Blood Orange Cake,"Chocolate, Raspberry & Basil Layer Cake",Kimberley Wilson,30,Psychologist,London,10,IN
4,1,lucy,Timperley Early Cake,Thyme 'Wildwood' Cake,Lucy Bellamy,38,Horticulturist,"Grimsby, Lincolnshire",2,IN
4,1,mark,Lemon and Poppy Seed Cake,Chocolate Monster,Mark Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,5,IN
4,1,robert,Pecan and Apple Cake,Raspberry Chocolate Cake,Robert Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",1,STAR BAKER
4,1,ruby,Rhubarb and Custard Sandwich Cake,Chocolate and Ginger Night Sky Cake,Ruby Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",12,IN
4,1,toby,Spiced and Iced Carrot Cake,Two Tiered Chocolate Cake,Toby Waterworth,30,Web Programmer,"Reading, Berkshire",13,OUT
4,2,ali,Italian Grissini,Sweet and Savoury Yin Yang Bread,Ali Imdad,25,Charity worker,"Saltley, Birmingham",9,IN
4,2,beca,Fennel and Chilli Breadsticks,Five Strand Christmas Wreath,Beca Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",11,IN
4,2,christine,Mediterranean Breadsticks with Oregano,Double Plaited Loaf,Christine Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",4,IN
4,2,deborah,Fennel & Chilli Breadsticks,Walnut Fleur Loaf,Deborah Manger,51,Dentist,Peterborough,8,IN
4,2,frances,Giant Matchsticks,Sailor's Knot,Frances Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",2,IN
4,2,glenn,Rosemary and Parmesan Grissini,Harvest Crown,Glenn Cosby,37,English Teacher,"Teignmouth, Devon",7,IN
4,2,howard,Moroccan Breadsticks,Picasso Sun Bread,Howard Middleton,51,Council Worker,Sheffield,10,IN
4,2,kimberley,Nigella Seed and Parmesan Breadsticks,Peace Bread,Kimberley Wilson,30,Psychologist,London,1,IN
4,2,lucy,Grissini with Salt,Roast Tomato Bread,Lucy Bellamy,38,Horticulturist,"Grimsby, Lincolnshire",12,OUT
4,2,mark,Rosemary & Raisin Breadsticks,Sage & Garlic Plait,Mark Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,6,IN
4,2,robert,Twisty Rye Bread Sticks,Tribute Loaf,Robert Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",5,IN
4,2,ruby,Mexican Breadsticks,White Chocolate and Orange Peacock Bread,Ruby Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",3,STAR BAKER
4,3,ali,"Coconut, Raspberry and Lemon Meringue Trifle",Vanilla Latte Mini CakesLime & Mint Shortbread Pops,Ali Imdad,25,Charity worker,"Saltley, Birmingham",5,IN
4,3,beca,Orange and Ginger Trifle,Limoncello and Blueberry BurstsMillionaire Shortbread,Beca Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",10,IN
4,3,christine,Caribbean Pina Colada Trifle,Ninety-NinersSachertorte Parcels,Christine Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",4,STAR BAKER
4,3,deborah,Tropical Trifle*,Canelé Cherry and Chocolate CakesRose Cookies,Deborah Manger,51,Dentist,Peterborough,9,OUT
4,3,frances,Apple and Blackberry Crumble Trifle,'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes,Frances Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",8,IN
4,3,glenn,Raspberry and Almond Trifle,Billionaire BouchéesOrange Financiers,Glenn Cosby,37,English Teacher,"Teignmouth, Devon",1,IN
4,3,howard,Caramel and Apple Trifle*,Black Coffee and Cardamom CakesWhite Stilton and Pear Biscuits,Howard Middleton,51,Council Worker,Sheffield,7,IN
4,3,kimberley,"Peach, Almond and Ginger Trifle",Chocolate Pistachio FinanciersLemon Bergamot Biscuits,Kimberley Wilson,30,Psychologist,London,6,IN
4,3,mark,"Ginger, Mango and Passion Fruit Trifle",Rose and Pistachio MacaroonsChocolate and Raspberry Bites,Mark Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,11,OUT
4,3,robert,Rhubarb and Orange Trifle,Almond FriandsTurǫn Macaroons,Robert Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",2,IN
4,3,ruby,Desert Island Trifle,Lemon Shortbread and White Chocolate SeashellsBlackberry and Chocolate Layer Cakes,Ruby Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",3,IN
4,4,ali,Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry,"Orange, Cardamom and Date M'Hanncha",Ali Imdad,25,Charity worker,"Saltley, Birmingham",8,OUT
4,4,beca,Mamgu's Cherry-Apple Tart,Moroccan Vegetable Filo Feast,Beca Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",2,IN
4,4,christine,"Granny Rogers' Apple, Plum & Cinnamon Country Pie",Roasted Vegetable Filo Pie with Feta Cheese,Christine Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",7,IN
4,4,frances,Peach Pie In the Sky,Cherry Tree Baklava Filo Pie,Frances Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",1,IN
4,4,glenn,Apple & Maple Syrup Pie,Spanakopita (Walnut and Feta Cheese),Glenn Cosby,37,English Teacher,"Teignmouth, Devon",9,IN
4,4,howard,Apple Pie with Sage Pastry,Fresh Fig and Feta Filo Flan,Howard Middleton,51,Council Worker,Sheffield,5,IN
4,4,kimberley,Pecan and Rosemary Caramel Apple Pie,"Chicken, Bacon and Butternut Squash Pie",Kimberley Wilson,30,Psychologist,London,4,STAR BAKER
4,4,robert,Apple and Pear Pie with Thyme,Spanakopita with St George's Mushrooms,Robert Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",3,IN
4,4,ruby,Apple and Marzipan Pie,"Rose, Almond and Raspberry Filo Pie",Ruby Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",6,IN
4,5,beca,"Chocolate, Cherry and Hazelnut Brownies",Tiered Macaron and Sugar Dough Biscuit Centrepiece,Beca Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",5,IN
4,5,christine,Mixed Berry and Almond Crumble Traybake,Shortbread Bavarian Clock Tower,Christine Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",1,STAR BAKER
4,5,frances,Millionaire Banoffee Bonus,Biscuit Buttons and Beads,Frances Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",3,IN
4,5,glenn,Apricot and Pistachio Tiffin,Shortbread and Macaron Helter-Skelter,Glenn Cosby,37,English Teacher,"Teignmouth, Devon",2,IN
4,5,howard,Breakfast Traybake,Japanese Pagoda Tea Tower,Howard Middleton,51,Council Worker,Sheffield,8,IN
4,5,kimberley,Cherry and Almond Bakewell Florentine Slice,Black and White Viennese Biscuit Stack,Kimberley Wilson,30,Psychologist,London,7,IN
4,5,robert,Blueberry & Orange Traybake,Dalek,Robert Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",4,OUT
4,5,ruby,Blackberry and Lemon Bakewell Slice,'Dropped Ice-Cream' Biscuit Centrepiece,Ruby Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",6,IN
4,6,beca,Bara Brith,Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns,Beca Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",6,IN
4,6,christine,Oxford Nutty Fruit Loaf,Schnecken BunsVanilla Custard Skolebrød,Christine Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",4,IN
4,6,frances,Chai Tea Loaf,Hot Cross BriochesRhubarb and Custard Kolaches,Frances Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",2,IN
4,6,glenn,Devonshire Panettone,Almond and Apricot BriochesSticky Caramel Kanelbullen,Glenn Cosby,37,English Teacher,"Teignmouth, Devon",5,IN
4,6,howard,Date & Hemp Yorkshire Loaf,Peachy BunsGerman Baumschnecken,Howard Middleton,51,Council Worker,Sheffield,7,OUT
4,6,kimberley,Chai Spiced Ginger and Date Tea Loaf,Double Chocolate and Hazelnut BriochesDanish Kanelsnurrer,Kimberley Wilson,30,Psychologist,London,3,IN
4,6,ruby,Citrus Tea Loaf,Twisted Swedish KanelbullarSaffron St. Lucia Buns,Ruby Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",1,STAR BAKER
4,7,beca,Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy,Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille,Beca Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",1,IN
4,7,christine,Spotted Dick 'With a Kick'and Vanilla Custard Ice Cream,Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille,Christine Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",6,IN
4,7,frances,Figgy Roll-y Poly Puddingwith Caramelised Walnut and Honey Ice-Cream,French Framboise Cream HornsSheet Music Mille-feuilleBass Clef Palmiers,Frances Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",5,STAR BAKER
4,7,glenn,Prune and Armagnac Puddingwith Boozy Butterscotch Sauce,Caramelised Apple and Marzipan TartletsChocolate Elephant EarsPassion Fruit Mille-feuille,Glenn Cosby,37,English Teacher,"Teignmouth, Devon",3,OUT
4,7,kimberley,Barberry and Apple Spotted Dickwith Maple Syrup and White Chocolate Custard,"Pear, Malt and Butterscotch Mille-feuilleBlackberry and Lemon Verbena Crème Brûle Custard TartsFig, Orange and Thyme Galette",Kimberley Wilson,30,Psychologist,London,4,IN
4,7,ruby,Plum Jam Roly-Polywith Ginger Ice cream,Raspberry and Passion Fruit Mille-feuilleCaramelised Apple LatticePortuguese Custard Tarts,Ruby Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",2,IN
4,8,beca,"Potato, Spelt and Rosemary Focaccia",Spiced Butternut Squash and Pecan 'Cheese' Cake,Beca Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,IN
4,8,christine,"Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds",Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant,Christine Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",5,OUT
4,8,frances,'Chelsea Flour Show' Bun Bouquet,"Hidden Carrot Cake (Ground Praline, Beetroot and Walnut)",Frances Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",3,IN
4,8,kimberley,Wild Garlic Pesto and Parma Ham Spelt Loaf,Butternut Squash and Spice Cake Toadstool House,Kimberley Wilson,30,Psychologist,London,2,IN
4,8,ruby,Mango and Nigella Seed Spelt Cob,Carrot Cake and Pistachio Garden Plot,Ruby Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",1,STAR BAKER
4,9,beca,Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets,Banoffee Opera Cake,Beca Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",3,OUT
4,9,frances,"Legume Canapés:
Chantenay CarrotsChoux Pastry TomatoesCauliflower Cheese Scones",Great British Soap Opera Cake,Frances Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",2,IN
4,9,kimberley,Pea Purée TartsCrab and Wasabi ProfiterolesSteamed Buns with Barbecue Chicken,Passion Fruit and Lime Opera Cake,Kimberley Wilson,30,Psychologist,London,1,STAR BAKER
4,9,ruby,"Beetroot Jelly on Poppy Seed BiscuitsSpinach, Parmesan and Egg TartletsChoux Buns with Goat's Cheese and Caramelised Onions","Chocolate, Almond Praline and Saffron Opera Cake",Ruby Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",4,IN
4,10,frances,Rainbow Picnic Pie,Midsummer Night's Dream Wedding Cake,Frances Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",3,WINNER
4,10,kimberley,Chicken and Pig Pie,Languages of Love Wedding Cake,Kimberley Wilson,30,Psychologist,London,1,Runner-up
4,10,ruby,Picnic Basket Pie,"Raspberry, Lemon and Passion Fruit Wedding Cake",Ruby Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",2,Runner-up
5,1,chetna,"Cardamom, Pistachio and Coffee Swiss Roll",Tiered Victoria Sponges with Lemon Curd and Raspberry Cream,Chetna Makan,35,Fashion Designer,"Broadstairs, Kent",3,IN
5,1,claire,Chocolatey Orangey Swirly Roll,Mini Chocolate and Cherry Cakes,Claire Goodwin,31,Speech Therapist,"Ashton upon Mersey, Trafford",8,OUT
5,1,diana,Mum's Sunday Tea Lemon Curd Swiss Roll,Chocolate Ganache Surprises,Diana Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire",5,IN
5,1,enwezor,Raspberry and Lemon Swiss Roll,Coffee and Walnut Battenberg Squares,Enwezor Nzegwu,39,Business Consultant,"Portsmouth, Hampshire",9,IN
5,1,iain,Apricot and Basil Swiss Roll with Mascarpone and White Chocolate Cream,"Lemon Drizzle Cakes with Mascarpone Filling, Drizzled Icing, and Candied Lemon",Iain Watters,31,Construction Engineer,London/Belfast,4,IN
5,1,jordan,Kawaii Frasier Swiss Roll,Lemon Drizzle Cakes with Blueberry and Lemon Curd,Jordan Cox,32,IT Manager,"Sneinton, Nottingham",12,IN
5,1,kate,Red Velvet and White Chocolate Swiss Roll,Mini Tiered Victoria Sponges,Kate Henry,41,Furniture Restorer,"Brighton, East Sussex",6,IN
5,1,luis,Spanish Swiss Roll,Raspberry and Lemon Genoise Slices with Lemon Drizzles,Luis Troyano,42,Graphic Designer,"Poynton, Cheshire",7,IN
5,1,martha,Tiramisu Swiss Roll,Mini Lemon and Thyme Drizzle Cakes,Martha Collison,17,Student,"Ascot, Berkshire",2,IN
5,1,nancy,Coffee and Hazelnut Swiss Roll,Jaffa Orange Cakes,Nancy Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",1,STAR BAKER
5,1,norman,Black Forest Swiss Roll,Almond and Raspberry Mini Cakes,Norman Calder,66,Retired Naval Officer,"Portknockie, Moray",11,IN
5,1,richard,Pistachio and Strawberry Swiss Roll,Miniature Coffee & Walnut Cakes,Richard Burr,38,Builder,"Mill Hill, London",10,IN
5,2,chetna,Fenugreek and Carom Crackers,Day On The Beach,Chetna Makan,35,Fashion Designer,"Broadstairs, Kent",8,IN
5,2,diana,Parmesan Triangles,"Express, First Class",Diana Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire",7,IN
5,2,enwezor,Pumpkin and Sunflower Savoury Biscuits,Space Adventure Moon Scene,Enwezor Nzegwu,39,Business Consultant,"Portsmouth, Hampshire",9,OUT
5,2,iain,Za'atar and Fig Biscuits,Wild West Scene,Iain Watters,31,Construction Engineer,London/Belfast,11,IN
5,2,jordan,"Sourdough, Parmesan and Chilli Biscuits",Monster Attack,Jordan Cox,32,IT Manager,"Sneinton, Nottingham",6,IN
5,2,kate,Parmesan and Apple Biscuits,Tea Time,Kate Henry,41,Furniture Restorer,"Brighton, East Sussex",4,IN
5,2,luis,Black Olive and Rosemary Biscuits with Caramelised Onion Glaze,George Versus The Dragon,Luis Troyano,42,Graphic Designer,"Poynton, Cheshire",3,IN
5,2,martha,Caramelised Onion and Goat's Cheese Sandwich Biscuits,Ski Village Scene,Martha Collison,17,Student,"Ascot, Berkshire",5,IN
5,2,nancy,Fennel and Rye Thins,Hansel and Gretel Scene,Nancy Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",2,IN
5,2,norman,Farthing Biscuits,Zulu Boats at Dawn,Norman Calder,66,Retired Naval Officer,"Portknockie, Moray",10,IN
5,2,richard,Rosemary Seeded Crackers,Pirates!,Richard Burr,38,Builder,"Mill Hill, London",1,STAR BAKER
5,3,chetna,Onion and Pine Nut Rolls,Rolled and Filled Twin Loaf,Chetna Makan,35,Fashion Designer,"Broadstairs, Kent",8,IN
5,3,diana,Rustic Picnic Rolls,Sharing Savoury Pinwheel,Diana Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire",7,IN
5,3,iain,Cranberry and Walnut Rye Bread Rolls,Moroccan Plaited with a Bessara Dip,Iain Watters,31,Construction Engineer,London/Belfast,9,IN
5,3,jordan,Rye and Spelt Bread Rolls,Strawberry Raspberry Cheesecake Brioche,Jordan Cox,32,IT Manager,"Sneinton, Nottingham",10,OUT
5,3,kate,Orange and Cardamom Rye Bread Knots,"Prosciutto, Olive and Coriander Bread",Kate Henry,41,Furniture Restorer,"Brighton, East Sussex",1,IN
5,3,luis,Opposites Attract Rolls,Roscón de Reyes,Luis Troyano,42,Graphic Designer,"Poynton, Cheshire",2,STAR BAKER
5,3,martha,Date and Walnut Rye Rolls,Stuffed Sunflower Loaf,Martha Collison,17,Student,"Ascot, Berkshire",3,IN
5,3,nancy,Cider and Walnut Crusty Rolls,'Full English' Stromboli,Nancy Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",5,IN
5,3,norman,Rye Bread Rolls,Chicken and Roasted Vegetable Picnic Loaf,Norman Calder,66,Retired Naval Officer,"Portknockie, Moray",4,IN
5,3,richard,Rye and Cranberry Rolls,Pesto Pinwheel,Richard Burr,38,Builder,"Mill Hill, London",6,IN
5,4,chetna,"Rhubarb, Strawberry and Orange Puddings","Mango, Raspberry and Coconut Baked Alaska",Chetna Makan,35,Fashion Designer,"Broadstairs, Kent",3,IN
5,4,diana,Orange and Lemon Curd Pots,Raspberry Ripple Alaska Swan,Diana Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire",9,IN
5,4,iain,"Chocolate, Lime and Raspberry Fondants","Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)",Iain Watters,31,Construction Engineer,London/Belfast,6,OUT
5,4,kate,Chocolate and Salted Caramel Molten Puddings,"Pistachio, Raspberry and Chocolate Baked Alaska",Kate Henry,41,Furniture Restorer,"Brighton, East Sussex",7,IN
5,4,luis,Pears in Puddings,Bakewell Alaska,Luis Troyano,42,Graphic Designer,"Poynton, Cheshire",2,IN
5,4,martha,Peanut Butter Chocolate Fondants,Key Lime Baked Alaska,Martha Collison,17,Student,"Ascot, Berkshire",1,IN
5,4,nancy,Pistachio Puddings with Chocolate Sauce,Summer Pudding Alaska,Nancy Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",4,IN
5,4,norman,Mini Sticky Toffee Puddings,Baked Alaska with Strawberry Surprise,Norman Calder,66,Retired Naval Officer,"Portknockie, Moray",8,IN
5,4,richard,Black Forest Chocolate Fondants,Tiramisu Baked Alaska,Richard Burr,38,Builder,"Mill Hill, London",5,STAR BAKER
5,5,chetna,Rice Custard Tart with Mangoes and Raspberries,Fusion Tiered Pies,Chetna Makan,35,Fashion Designer,"Broadstairs, Kent",2,IN
5,5,kate,Rhubarb and Custard Tart,"Rhubarb, Prune and Apple Pies",Kate Henry,41,Furniture Restorer,"Brighton, East Sussex",3,STAR BAKER
5,5,luis,Tropical Manchester Tart,Four Fruity Seasons Tower,Luis Troyano,42,Graphic Designer,"Poynton, Cheshire",6,IN
5,5,martha,"Pistachio, Apricot and Honey Custard Tart",Three Little Pigs Pie,Martha Collison,17,Student,"Ascot, Berkshire",1,IN
5,5,nancy,Chocolate Crusted Passion Fruit Tart,Trio of Apple Pies,Nancy Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",4,IN
5,5,norman,Tarte au Citron,Pieful Tower,Norman Calder,66,Retired Naval Officer,"Portknockie, Moray",5,OUT
5,5,richard,Fig and Orange Tart,Three Course Autumn Pie Feast,Richard Burr,38,Builder,"Mill Hill, London",7,IN
5,6,chetna,Orange Savarin with Cinnamon Cream,Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream,Chetna Makan,35,Fashion Designer,"Broadstairs, Kent",2,STAR BAKER
5,6,kate,"Pecan, Chocolate and Sour Cherry Yeast Cake",Trio of Dobos Tortes,Kate Henry,41,Furniture Restorer,"Brighton, East Sussex",6,IN
5,6,luis,Apple and Cinnamon Kugelhopf with Honeyed Apples,The Cage on the Rocky Hill,Luis Troyano,42,Graphic Designer,"Poynton, Cheshire",3,IN
5,6,martha,Dark Chocolate and Almond Liqueur Savarin,Chess-Themed Chocolate and Salted Caramel Dobos Torte,Martha Collison,17,Student,"Ascot, Berkshire",4,IN
5,6,nancy,Rum Punch Savarin with Coconut Cream and Tropical Fruits,Chocolate and Caramel Dobos Torte,Nancy Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",1,IN
5,6,richard,Fruity Guglhupf with an Orange Glaze,Sugar Forest Dobos Torte,Richard Burr,38,Builder,"Mill Hill, London",5,IN
5,7,chetna,Crispy Lentil Kachori,Chocolate and Mango & Lemon Meringue Éclairs,Chetna Makan,35,Fashion Designer,"Broadstairs, Kent",6,IN
5,7,kate,Spinach and Paneer Spicy Samosa,Neapolitan & Lemon Meringue Éclairs,Kate Henry,41,Furniture Restorer,"Brighton, East Sussex",4,OUT
5,7,luis,Childhood Empanadas,"Stars and Stripes Éclairs
(Blueberry Cheesecake & Peanut Butter and Jelly Éclairs)",Luis Troyano,42,Graphic Designer,"Poynton, Cheshire",5,IN
5,7,martha,Mini Beef Wellingtons,Rhubarb and Custard & Maple Syrup and Bacon Éclairs,Martha Collison,17,Student,"Ascot, Berkshire",3,IN
5,7,nancy,Spicy Duck Pasties,Smoked Salmon and Horseradish & Raspberry Ripple Éclairs,Nancy Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",2,IN
5,7,richard,Minted Lamb Pasties,"Stair of Éclairs
(Lavender and Blueberry & Rose and Raspberry Éclairs)",Richard Burr,38,Builder,"Mill Hill, London",1,STAR BAKER
5,8,chetna,Date and Walnut Swirl Bread,Chocolate Mousse Filled DoughnutsBraided Doughnuts,Chetna Makan,35,Fashion Designer,"Broadstairs, Kent",1,IN
5,8,luis,Black Forest Cherry Tree,"Cocktail Doughnuts
(Mudslide & Raspberry Mojito)",Luis Troyano,42,Graphic Designer,"Poynton, Cheshire",2,IN
5,8,martha,Spiced Plum Iced Bread Swirl,Glazed Lemon & Poppy Seed DoughnutsChocolate & Passion Fruit Doughnuts,Martha Collison,17,Student,"Ascot, Berkshire",5,OUT
5,8,nancy,Lincolnshire Plum Braid,"Doughnut Family Tree
(Limoncello and Almond & Milk Chocolate and Orange)",Nancy Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",3,IN
5,8,richard,Fruit Swedish Tea Ring,Rhubarb and Custard and Toffee Apple Doughnuts,Richard Burr,38,Builder,"Mill Hill, London",4,STAR BAKER
5,9,chetna,Chocolate Orange Baklava Masala Chai Baklava,"Chocolate, Orange & Nut EntremetsCappuccino Entremets",Chetna Makan,35,Fashion Designer,"Broadstairs, Kent",4,OUT
5,9,luis,Indian Rose BaklavaHalwa Baklava Rolls,"Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponges",Luis Troyano,42,Graphic Designer,"Poynton, Cheshire",1,IN
5,9,nancy,Coffee and Chocolate BaklavaBreakfast Baklava,Raspberry NonnettesLime and Passion Fruit Entremets,Nancy Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",3,IN
5,9,richard,Rose and Pistachio BaklavaWalnut and Almond Baklava,Hazelnut Mocha EntremetsPink Grapefruit Entremets,Richard Burr,38,Builder,"Mill Hill, London",2,STAR BAKER
5,10,luis,"Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese",Village in Chocolate,Luis Troyano,42,Graphic Designer,"Poynton, Cheshire",2,Runner-up
5,10,nancy,Apple and Lemon KitesRaspberry and Almond Croissants,Red Windmill,Nancy Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",1,WINNER
5,10,richard,Pear Pain au ChocolatPain Au Lait,Mill on the Hill,Richard Burr,38,Builder,"Mill Hill, London",3,Runner-up
6,1,alvin,Orange Vanilla and Fig Madeira Cake,Black Forest Gâteau,Alvin Magallanes,37,Nurse,"Bracknell, Berkshire",2,IN
6,1,dorret,Madeira Cake with Candied Lemons,Enchanted Forest Gâteau,Dorret Conway,53,Accountant,"Penwortham, Lancashire",5,IN
6,1,flora,Blood Orange Madeira Cake,Black Forest Gâteau,Flora Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",6,IN
6,1,ian,Somewhere West of Madeira Cake,Black Forest Cherry Tree,Ian Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",8,IN
6,1,marie,Zingy Citrus Madeira Cake,A Walk in the Black Forest,Marie Campbell,66,Retired,"Auchterarder, Perthshire",3,STAR BAKER
6,1,mat,Gin and Tonic Madeira Cake,Black Forest Gateau,Mat Riley,37,Fire fighter,London,7,IN
6,1,nadiya,Orange and Green Cardamom Madeira Cake,Quadruple Chocolate Black Forest Gâteau,Nadiya Hussain,30,Full-time mother,Leeds / Luton,12,IN
6,1,paul,"Lemon, Ginger and Caraway Seed Madeira Cake",Black Forest Chocolate Creation,Paul Jagger,49,Prison governor,"Swansea, Wales",10,IN
